job_title,company_name,location,remote_option,tech_stack,experience_years,salary_min,salary_max,currency
Portfolio Management (Mảng hạ tầng) - ID2698,VPBank,Ha Noi,onsite,"Project Management, Change Management, ITIL Foundation",3 years,,,
Server Operator (Vận hành máy chủ) – ID2702,VPBank,Ha Noi,onsite,"Windows Server, Python, VMware, Linux",,,,
(HN/HCM) Senior Product Owner (Data Platform),One Mount Group,Ha Noi - Ho Chi Minh,onsite,"Product Owner, English",4+ years,,,
(HCM) Senior Data Engineer,One Mount Group,Ho Chi Minh,onsite,"Data Engineer, Data-driven, Databricks, Database",4+ years,,,
Kỹ sư phân tích nghiệp vụ (IT Business Analyst) - VIC,Viettel Group,Ha Noi,onsite,"Business Analysis, SRS, AI, BRD, English",2 years,,,
"Data Scientist Expert (Python, Cloud, AI/ML) – ID2645",VPBank,Ha Noi,onsite,"Data Science, AWS, Pandas, PyTorch, Python, Generative AI",7 years,,,
"Data Engineer (Java, Kafka, Spark, Flink, Hadoop)",Tổng công ty Tân Cảng Sài Gòn (Saigon NewPort Corporation),Ho Chi Minh,onsite,"Data Engineer, Spark, Java, Data Warehousing, Big Data",,,,
"Senior Data Operations Engineer (Oracle, SQL) - ID2371",VPBank,Ha Noi,onsite,"Data Engineer, Business Intelligence, Data Warehousing",,,,
"Java Developer (Spring Boot, Microservices) – ID2686",VPBank,Ha Noi,onsite,"Java, Kafka, Windows, Linux, AWS, Spring Boot",3 years,,,
Salesforce Developer,LG CNS Việt Nam,Ha Noi,onsite,"ERP, Salesforce",3+ years,,,
System Engineer ( Linux/Windows Server),VTC Online,Ha Noi,onsite,"System Admin, Networking, System Architecture, Windows Server",3 years,,,
Senior IOS developer (Good English),Outcubator,Ha Noi,onsite,"Swift, Objective C, iOS",5+ years,,,
"Front End Developer (Reactjs, Good English)",Outcubator,Ha Noi,onsite,"ReactJS, VueJS, CSS 3, HTML5",4 years,,,
Security Operations Center Analyst (IT Support),Mắt Bão BPO,Ho Chi Minh,onsite,"IT Support, Cybersecurity, Security",2 years,,,
[Telecom] System Admin,Huawei,Ha Noi,onsite,"Database, English",1+ years,,,
Quản trị hệ thống Cơ sở Dữ liệu (DBA - Database Admin),SACOMBANK,Ho Chi Minh,onsite,"System Admin, Cloud, Linux, Microsoft SQL Server, Oracle",03 years,,,
CV Quản Trị Hệ Thống/ System Admin (Unix/ Linux),SACOMBANK,Ho Chi Minh,onsite,"System Admin, System Architecture, Microsoft SQL Server, Unix",2 years,,,
Frontend ReactJS Developer,LG CNS Việt Nam,Ha Noi,onsite,"ReactJS, JavaScript",4+ years,,,
Information Security & Cyber Resiliance Officer,AURIFY,Ho Chi Minh,hybrid,"Information Security, ISO 27001, Cloud Security, PCI DSS",5 years,,,
Cyber Security Consultant,Capgemini Vietnam,Ho Chi Minh,onsite,"Cybersecurity, Governance, Risk & Compliance",5+ years,,,
"Data Analyst (Power BI, SQL, BI Developer, BA)",Tổng công ty Tân Cảng Sài Gòn (Saigon NewPort Corporation),Ho Chi Minh,onsite,"Data Analysis, Business Intelligence, Power BI, Data modeling",1 years,,,
AI Workflow Engineer (Node.js / AI Automation),AiClipX,Ho Chi Minh,remote,"NodeJS, Docker, Python, Automation Test, Redis",,,,
Website Product Manager,Nakivo,Ho Chi Minh,onsite,"Product Management, Business Analysis, English",3+ years,,,
Web Developer (PHP & JavaScript),Deliveree On-Demand Logistics,Ho Chi Minh,hybrid,"PHP, JavaScript, UI-UX, Wordpress, CSS, English",1+ years,,,
Manual Tester (QA QC),DeliGroup,Ho Chi Minh,onsite,"Tester, API, QA QC, SQL",02+ years,,,
Senior AI Engineer (Infrastructure Focus),Bitcoin Builders,Ho Chi Minh,onsite,"PyTorch, Deep Learning, Machine Learning, AI, Docker",,,,
Middle/SeniorCloud Infrastructure Engineer (AWS/Kuber),Ngân hàng TMCP Phương Đông | OCB,Ho Chi Minh,onsite,"AWS, Cloud, Kubernetes",,,,
Middle/Senior Database Administrator (DBA),Ngân hàng TMCP Phương Đông | OCB,Ho Chi Minh,onsite,"Microsoft Azure SQL Database, Microsoft SQL Server, Database",3 years,,,
"Senior QC (Da Nang, Can Tho, Hybrid)",Dirox,Ho Chi Minh,onsite,"QA QC, Database, English",4+ years,,,
