job_title,company_name,location,remote_option,tech_stack,experience_years,salary_min,salary_max,currency
"Senior Backend Developer (PHP, Laravel, MySQL, Kafka)",CUBICSTACK SOLUTIONS,Ho Chi Minh,onsite,"PHP, Microservices Architecture, Laravel, Database, MySQL",5+ years,,,
[Junior-Senior] Software Engineer (Fullstack),Base Inc.,Ha Noi,onsite,"Fullstack, JQuery, JavaScript, MySQL",,,,
[Hybrid Job] Agentic Tech Lead (Applied AI),CÔNG TY TNHH JV-IT TECHS,Ho Chi Minh,hybrid,"AI, JavaScript, PHP, Machine Learning, LLM",5 years,,,
"Manual Tester (Financial, Securities)",Pinetree Securities,Ha Noi,onsite,"QA QC, Automation Test, Penetration Testing, Unit test, Agile",7 years,,,
FullStack Java Developer (Junior - Middle),BUCA,Ha Noi,onsite,"Java, TypeScript, NodeJS, JSON",02 years,,,
"Business Analyst (Figma, UML)",VNPT EPAY,Ha Noi,onsite,"Business Analysis, UML, Figma, English",2 years,,,
Backend Engineer (Nodejs),Everfit,Da Nang - Ha Noi,onsite,"NodeJS, Microservices",4+ years,,,
"Database Administrator (MariaDB, PostgreSQL, SQL)",Cadena Vietnam,Ho Chi Minh,hybrid,"Database, Cloud, MariaDB, English, PostgreSql, SQL",5+ years,,,
"QA QC Engineer (HRMS, Automation Test, Tester)",Cadena Vietnam,Ho Chi Minh,onsite,"Automation Test, QA QC, English, Tester",5 years,,,
Senior DevOps Engineer (SRE/Platform Engineer),Cadena Vietnam,Ho Chi Minh,onsite,"DevSecOps, Docker, English, Cloud, CI/CD",5+ years,,,
"Fullstack Developer (Golang, ReactJS, HRMS)",Cadena Vietnam,Ho Chi Minh,onsite,"Golang, English, Microservices, MariaDB, Flutter, ReactJS",,,,
Frontend Team Lead (JavaScript/ReactJS/NextJS),APOLLOGIX,Ho Chi Minh,onsite,"JavaScript, NextJS, ReactJS, TypeScript",1-2 years,,,
Project Manager,Parcel Perform,Ho Chi Minh,hybrid,"Project Management, English",,,,
"Product Designer (English, AI)",HRS Group,Ho Chi Minh,hybrid,"Product Design, UI-UX",6+ years,,,
"Sr Software Engineer, Machine Learning  (AI, English)",GeoComply (GeoTech Hub Vietnam),Ho Chi Minh,onsite,"Machine Learning, Algorithms, Data Science, AI, Data Analysis",,,,
6 Fullstack (C# JavaScript) Sr Developers /up to $3000,RANGSTRUP IT Vietnam,Ho Chi Minh,hybrid,"C#, Azure, .NET, ASP.NET, JavaScript, English",4+ years,,,
5 .NET (C#) Junior developers,RANGSTRUP IT Vietnam,Ho Chi Minh,hybrid,".NET, Database, English, ASP.NET, C#, JavaScript",2+ years,,,
"Fullstack Developer (.NET 8, ReactJs, Kubernetes)",Restaff – House Of Norway,Ho Chi Minh,hybrid,".NET, English, Kubernetes, TypeScript, ReactJS",4 years,,,
"Backend Developer (Java, MySQL, Spring Boot)",WTECH VIETNAM,Ho Chi Minh,onsite,"Java, AI, Spring, Microservices, MySQL, MongoDB",3 years,,,
"Fresher & Junior - Software Developer (.NET, Java, C#)",Netcompany,Ho Chi Minh,onsite,".NET, Java, C#, English",,,,
Middle/ Senior PHP Dev ( AI/ MVC/ Laravel/ JavaScript ),Vision Vietnam,Ha Noi,onsite,"PHP, GitHub, Laravel, MVC, AI, JavaScript",,,,
"Full-stack Web (Nuxt.js / NextJS, NodeJS, Laravel)",CÔNG TY TNHH JV-IT TECHS,Ho Chi Minh,hybrid,"Fullstack, Laravel, NodeJS, NextJS, Nuxt.js",3 years,,,
"Applied AI Engineer (Junior - Middle, English)",Spartan Dev Inc,Ho Chi Minh - Da Nang,hybrid,"AI, Algorithms, Generative AI, Fullstack, LLM, English",1+ years,,,
"Java Deverloper (JavaScript, Spring Boot, Oracle)","ADVANCE TECH .,JSC",Ha Noi,onsite,"Java, JQuery, Oracle, Spring Boot, JavaScript, OOP",2 years,,,
Manual Tester,"ADVANCE TECH .,JSC",Ha Noi,onsite,"Tester, QA QC, SQL",02 years,,,
Cybersecurity Engineer (Security/API/Networking),Phu Hung Securities (PHS),Ho Chi Minh,onsite,"Cybersecurity, Database, English, Web Application Firewall, API",3 years,,,
Product Delivery Manager,Phu Hung Securities (PHS),Ho Chi Minh,onsite,"Project Management, English, Jira, Scrum, Business Analysis",5 years,,,
Web Application Developer (React/Typescript/JavaScript),Công ty cổ phần Everpia,Hung Yen,onsite,"JavaScript, Git, API, CSS 3, HTML5, TypeScript",5 years,,,
"Business Analyst (UML, Figma)",Công ty Cổ phần Công nghệ & Giáo dục Chip Chip,Ha Noi,onsite,"Business Analysis, Prototyping, UI-UX, Figma, UML",3-5 years,,,
"Product Owner (Figma, User Story, Product Roadmap)",Airdata Technology,Ha Noi,onsite,"Product Owner, Mockups, Product roadmap, User story",3-4 years,,,
Game Tester (Female),Gamee Studio,Ha Noi,onsite,"Tester, Games",1 years,,,
Junior Fullstack Python Developer (Internal Tools),Công Ty Cổ Phần Dịch Vụ Fincon Global,Ha Noi,onsite,"Fullstack, Database, FastAPI, Docker, Python, MySQL",1-2 years,,,
