job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
Fullstack Java Developer,"fullstack developer, it - phần mềm, 2 năm ki..., fullstack develope...",2,Hà Nội,Công ty Cp Công nghệ và Truyền thông Dagoras,onsite,12000000,12000000,VND
Backend Developer,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",1,Hà Nội,CÔNG TY CỔ PHẦN METAFORCE,onsite,15000000,40000000,VND
Chuyên Viên Lập Trình Angular,"fullstack developer, it - phần mềm, bảo hiểm, fullstack develope...",2,Hồ Chí Minh (mới),"Cathay Insurance Co., Ltd",onsite,,,
Lập Trình Viên DEV,"software engineer, không yêu cầu kinh nghi..., software engineer, k...",,Hồ Chí Minh (mới),BỆNH VIỆN ĐA KHOA QUỐC TẾ S.I.S CẦN THƠ - CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ Y TẾ VIỆT CƯỜNG,onsite,,,
Software Developer (Fulltime),"fullstack developer, it - phần mềm, it - phầ..., fullstack develope...",,Hồ Chí Minh (mới),CÔNG TY TNHH AI POWER,onsite,,,
Middle Software Engineer – Java/.NET & Frontend - 3 Năm Kinh Nghiệm - Làm Việc Tại Cần Thơ,"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",3,Cần Thơ (mới),CÔNG TY TNHH KỸ SƯ CÔNG NGHỆ CAO VN,onsite,,,
Java Developer / Backend Engineer,"backend developer, nghỉ thứ 7, 3 năm kinh ng..., backend developer, n...",3,Hồ Chí Minh (mới),CÔNG TY TNHH KAMEREO,onsite,,,
Lập Trình Viên .Net,"software engineer, it - phần mềm, tuổi 24 - ..., software engineer, i...",2,Hà Nội,Công ty Cổ phần Tập đoàn HiPT,onsite,,,
Lập Trình Viên Front End - 2026,"frontend developer, it - phần mềm, thương mạ..., frontend developer",1,Hà Nội,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,onsite,10000000,14000000,VND
Lập Trình Viên Java (Spring Boot),"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",3,Hà Nội,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ VIỆT NAM,onsite,18000000,25000000,VND
Fullstack Developer - Upto 30M Net,"fullstack developer, it - phần mềm, thương m..., fullstack develope...",2,Hà Nội,OpenCommerce Group,onsite,,,
Application Support Officer (BA/ERP),"software engineer, it - phần mềm, 1 năm kinh..., software engineer, i...",1,Hồ Chí Minh (mới),CÔNG TY TNHH SX VÀ TM CÁT THÁI,onsite,10000000,15000000,VND
"Mobile Developer (Flutter, Dart)","mobile developer, it - phần mềm, nghỉ thứ 7, 5..., mobile developer, it...",5,Hà Nội,Công ty Cổ phần Chứng khoán DNSE,onsite,1000,2500,USD
Lập Trình Viên Java Tiếng Nhật,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",2,Hà Nội,Công ty Cổ phần NAL Việt Nam,onsite,20000000,35000000,VND
Backend Developer (Golang),"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",1,Hà Nội,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VÀ VIỄN THÔNG DOLPHIN,onsite,,,
Middle Java Developer Tại Hà Nội - Từ 3 Năm Kinh Nghiệm -  Thu Nhập 22M - 30M,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",3,Hà Nội,Công ty Cổ phần Truyền thông và Dịch vụ Nodo,onsite,22000000,30000000,VND
Front-End Engineer,"frontend developer, it - phần mềm, nghỉ thứ ..., frontend developer",1,Hồ Chí Minh (mới),CÔNG TY TNHH PANDA AGENCY,onsite,300,1500,USD
Java Back-End Developer,"software engineer, it - phần mềm, thương mại..., software engineer, i...",3,Hà Nội,CÔNG TY CỔ PHẦN ALLIEX VIỆT NAM,onsite,30000000,50000000,VND
Mobile Developer,"mobile developer, it - phần mềm, nghỉ thứ 7, t..., mobile developer, it...",5,Hồ Chí Minh (mới),CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN PI GROUP,onsite,30000000,50000000,VND
Senior Java Developer – ERP Project,"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",5,Hồ Chí Minh (mới),Công ty TNHH AlphagenV,onsite,,,
Techlead (ReactJs-NodeJs)AI Project-Hybrid Working,"fullstack developer, it - phần mềm, trên 5 n..., fullstack develope...",5,Hồ Chí Minh (mới),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VEXERE,onsite,,,
Lập Trình Viên Fullstack Mobile App Developer,"mobile developer, it - phần mềm, nghỉ thứ 7, 2..., mobile developer, it...",2,Hà Nội,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ SALEMALL,onsite,15000000,20000000,VND
Junior Backend Developer - Thu Nhập 14-15 Tháng Lương/Năm,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",1,Hà Nội,SonatGame Studio,onsite,,,
Lập Trình Viên - Frontend Developer (NextJS),"frontend developer, it - phần mềm, game, nghỉ ..., frontend developer",1,Hà Nội,SonatGame Studio,onsite,18000000,18000000,VND
Junior Frontend Developer - Tại Hà Nội,"frontend developer, it - phần mềm, 1 năm kin..., frontend developer",1,Hà Nội,Công ty TNHH Edtech Cole,onsite,13000000,13000000,VND
Lập Trình Viên Frontend (React/Angular/Vue),"frontend developer, trung..., frontend developer",3,Hà Nội,Công ty TNHH Digital Innovation,onsite,15000000,30000000,VND
